method,dataset,seed,comparison,layer,prefix_depth,mean_abs_diff,max_abs_diff,mse,binary_flip_ratio,soft_inactive_ratio,hard_inactive_ratio
dlgn_anneal,parity8,1,full_soft_vs_discrete,3,4,0.3335394263267517,0.828422486782074,0.14434249699115753,0.1966552734375,0.0,0.3359375
gumbel_st,parity8,1,full_soft_vs_discrete,0,1,0.41715407371520996,0.6447411179542542,0.18192818760871887,0.1632080078125,0.0,0.1875
gumbel_st,parity8,1,full_soft_vs_discrete,1,2,0.4741385579109192,0.6282784938812256,0.22822266817092896,0.3486328125,0.0,0.3515625
gumbel_st,parity8,1,full_soft_vs_discrete,2,3,0.4714607894420624,0.6824339032173157,0.22578994929790497,0.290771484375,0.0,0.40625
gumbel_st,parity8,1,full_soft_vs_discrete,3,4,0.47325488924980164,0.6992539763450623,0.22819557785987854,0.3255615234375,0.0,0.46875
hard_st_cage,parity8,1,full_soft_vs_discrete,0,1,0.49053600430488586,0.6023744344711304,0.24202793836593628,0.3818359375,0.0,0.1640625
hard_st_cage,parity8,1,full_soft_vs_discrete,1,2,0.4943416714668274,0.5589326620101929,0.244841530919075,0.3857421875,0.0,0.359375
hard_st_cage,parity8,1,full_soft_vs_discrete,2,3,0.4933861494064331,0.5617623925209045,0.2439044713973999,0.3712158203125,0.0,0.5234375
hard_st_cage,parity8,1,full_soft_vs_discrete,3,4,0.49095165729522705,0.5690242052078247,0.2415703535079956,0.367431640625,0.0078125,0.609375
block_relaxed,parity8,1,full_soft_vs_discrete,0,1,0.4070820212364197,0.6552088856697083,0.1745772510766983,0.1719970703125,0.0,0.1640625
block_relaxed,parity8,1,full_soft_vs_discrete,1,2,0.4684772193431854,0.644644558429718,0.22315305471420288,0.2969970703125,0.0,0.2890625
block_relaxed,parity8,1,full_soft_vs_discrete,2,3,0.4730198383331299,0.6772733330726624,0.22763894498348236,0.3262939453125,0.0,0.3515625
block_relaxed,parity8,1,full_soft_vs_discrete,3,4,0.4732491970062256,0.6803627014160156,0.22805655002593994,0.3409423828125,0.0,0.375
block_hard_refit,parity8,1,full_soft_vs_discrete,0,1,0.3923873007297516,0.49978455901145935,0.1598825305700302,0.0,0.0,0.1875
block_hard_refit,parity8,1,full_soft_vs_discrete,1,2,0.46160387992858887,0.6299516558647156,0.2163437306880951,0.2149658203125,0.0,0.3359375
block_hard_refit,parity8,1,full_soft_vs_discrete,2,3,0.4621547758579254,0.6636228561401367,0.2168407291173935,0.2606201171875,0.0,0.4296875
block_hard_refit,parity8,1,full_soft_vs_discrete,3,4,0.467236191034317,0.6750825643539429,0.22198593616485596,0.3028564453125,0.0,0.5390625
block_hard_refit,parity8,1,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.1875,0.1875
block_hard_refit,parity8,1,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.3359375,0.3359375
block_hard_refit,parity8,1,path_soft_vs_discrete,2,3,0.0,0.0,0.0,0.0,0.4296875,0.4296875
block_hard_refit,parity8,1,path_soft_vs_discrete,3,4,0.40203627943992615,0.4998062551021576,0.167677640914917,0.0,0.2265625,0.5390625
block_hard_task_refit,parity8,1,full_soft_vs_discrete,0,1,0.42810747027397156,0.7968714237213135,0.195602685213089,0.1815185546875,0.0,0.2265625
block_hard_task_refit,parity8,1,full_soft_vs_discrete,1,2,0.4761584401130676,0.6600221395492554,0.23090018332004547,0.3443603515625,0.0,0.421875
block_hard_task_refit,parity8,1,full_soft_vs_discrete,2,3,0.4686586856842041,0.6896140575408936,0.2234613597393036,0.2744140625,0.0,0.6015625
block_hard_task_refit,parity8,1,full_soft_vs_discrete,3,4,0.46414393186569214,0.6162089705467224,0.21898454427719116,0.3023681640625,0.0,0.6640625
block_hard_task_refit,parity8,1,path_soft_vs_discrete,0,1,0.0,0.0,0.0,0.0,0.2265625,0.2265625
block_hard_task_refit,parity8,1,path_soft_vs_discrete,1,2,0.0,0.0,0.0,0.0,0.421875,0.421875
block_hard_task_refit,parity8,1,path_soft_vs_discrete,2,3,0.0,0.0,0.0,0.0,0.6015625,0.6015625
block_hard_task_refit,parity8,1,path_soft_vs_discrete,3,4,0.41136181354522705,0.7893253564834595,0.17853522300720215,0.0684814453125,0.3671875,0.6640625
dlgn,majority9,1,full_soft_vs_discrete,0,1,0.3297898769378662,0.6833466291427612,0.12542769312858582,0.1104736328125,0.0,0.1171875
dlgn,majority9,1,full_soft_vs_discrete,1,2,0.43933120369911194,0.6769058108329773,0.19921480119228363,0.19970703125,0.0,0.1640625
dlgn,majority9,1,full_soft_vs_discrete,2,3,0.46201473474502563,0.6674363017082214,0.21868818998336792,0.31610107421875,0.0,0.2734375
dlgn,majority9,1,full_soft_vs_discrete,3,4,0.4815986752510071,0.682883083820343,0.23513047397136688,0.36724853515625,0.0,0.3671875
dlgn_anneal,majority9,1,full_soft_vs_discrete,0,1,0.07359664142131805,0.536430835723877,0.02064681425690651,0.0107421875,0.0,0.0703125
dlgn_anneal,majority9,1,full_soft_vs_discrete,1,2,0.15410546958446503,0.6994059085845947,0.04999418929219246,0.040771484375,0.0,0.1484375
dlgn_anneal,majority9,1,full_soft_vs_discrete,2,3,0.22033119201660156,0.7712346911430359,0.07872709631919861,0.0716552734375,0.0,0.25
dlgn_anneal,majority9,1,full_soft_vs_discrete,3,4,0.28945428133010864,0.8226426839828491,0.11347387731075287,0.10845947265625,0.0,0.328125
gumbel_st,majority9,1,full_soft_vs_discrete,0,1,0.42383530735969543,0.6448591947555542,0.18746545910835266,0.20343017578125,0.0,0.1796875
gumbel_st,majority9,1,full_soft_vs_discrete,1,2,0.4738427996635437,0.6912664175033569,0.2274351418018341,0.3072509765625,0.0,0.265625
gumbel_st,majority9,1,full_soft_vs_discrete,2,3,0.4672752618789673,0.6537986993789673,0.22264525294303894,0.32855224609375,0.0,0.3828125
gumbel_st,majority9,1,full_soft_vs_discrete,3,4,0.48213648796081543,0.66765296459198,0.23565703630447388,0.36187744140625,0.0,0.4375
hard_st_cage,majority9,1,full_soft_vs_discrete,0,1,0.4777778089046478,0.6165285110473633,0.23103006184101105,0.35546875,0.0,0.1875
hard_st_cage,majority9,1,full_soft_vs_discrete,1,2,0.4911215901374817,0.5784210562705994,0.24186603724956512,0.36944580078125,0.0,0.2578125
hard_st_cage,majority9,1,full_soft_vs_discrete,2,3,0.4880271852016449,0.5623469352722168,0.23882220685482025,0.33087158203125,0.0,0.3984375
